ax,ay,az,temp,gx,gy,gz
0.0183,0.0754,1.0239,33.14,-2.191,-0.29,0.603
0.0181,0.0796,1.0269,33.14,-2.275,-0.473,0.618
0.0137,0.0767,1.0181,33.14,-2.267,-0.511,0.55
0.0137,0.0789,1.022,33.14,-2.191,-0.466,0.565
0.0195,0.0776,1.0222,33.09,-2.168,-0.489,0.718
0.0139,0.0735,1.0264,33.09,-2.267,-0.382,0.672
0.02,0.0752,1.0166,33.19,-2.145,-0.275,0.557
0.0173,0.0789,1.0283,33.09,-2.267,-0.374,0.626
0.021,0.0757,1.0227,33.09,-2.237,-0.382,0.748
0.02,0.0757,1.0232,33.14,-2.214,-0.42,0.565
0.0249,0.0801,1.0247,33.14,-2.084,-0.389,0.626
0.021,0.0806,1.022,33.19,-2.229,-0.382,0.496
0.0212,0.0767,1.0273,33.19,-2.267,-0.275,0.496
0.0203,0.0811,1.0181,33.09,-2.244,-0.382,0.786
0.0208,0.0771,1.0276,33.19,-2.229,-0.565,0.626
0.0139,0.0774,1.0291,33.09,-2.145,-0.427,0.756
0.0186,0.0791,1.022,33.19,-2.45,-0.489,0.664
0.0142,0.0801,1.0203,33.09,-2.275,-0.481,0.626
0.0149,0.0771,1.0227,33.14,-2.282,-0.427,0.58
0.0198,0.0732,1.0247,33.14,-1.885,-0.382,0.565
0.0178,0.0776,1.02,33.14,-2.206,-0.397,0.656
0.0166,0.0801,1.0195,33.14,-2.061,-0.519,0.649
0.0164,0.0815,1.0278,33.24,-2.092,-0.359,0.664
0.0178,0.0786,1.0232,33.14,-2.191,-0.641,0.641
0.0251,0.0776,1.0166,33.14,-2.397,-0.397,0.771
0.0168,0.0708,1.0183,33.19,-2.183,-0.588,0.534
0.0212,0.0771,1.0166,33.19,-2.046,-0.382,0.931
0.0203,0.0803,1.0254,33.09,-2.237,-0.382,0.695
0.0159,0.0752,1.0208,33.09,-2.267,-0.618,0.626
0.019,0.0762,1.0286,33.09,-2.282,-0.557,0.588
0.0208,0.0801,1.0139,33.0,-2.107,-0.435,0.74
0.01,0.0784,1.02,33.14,-2.298,-0.641,0.916
0.0139,0.0737,1.0188,33.14,-2.244,-0.573,0.481
0.0149,0.0767,1.0144,33.24,-2.229,-0.664,0.611
0.0212,0.0798,1.0166,33.19,-2.015,-0.45,0.534
0.021,0.074,1.0181,33.14,-2.069,-0.435,0.771
0.0232,0.0747,1.0193,33.19,-2.023,-0.298,0.763
0.0205,0.0764,1.022,33.19,-2.122,-0.405,0.763
0.0159,0.0825,1.0193,33.0,-2.168,-0.611,0.656
0.019,0.073,1.0195,33.19,-2.267,-0.45,0.626
0.0171,0.0764,1.0281,33.09,-2.16,-0.351,0.595
0.0183,0.0779,1.0198,33.09,-2.29,-0.55,0.695
0.0254,0.0803,1.0234,33.19,-2.076,-0.42,0.794
0.0183,0.0808,1.0229,33.14,-2.168,-0.412,0.702
0.0193,0.0779,1.0281,33.14,-2.305,-0.618,0.748
0.0188,0.0811,1.0142,33.14,-2.252,-0.542,0.695
0.02,0.0806,1.0249,33.14,-2.267,-0.305,0.718
